# BEGIN HISTOGRAM /REF/CMS_TOP_12_028/h00_diffXSecTopSemiLepHadronPhaseSpacelepPt
AidaPath=/REF/CMS_TOP_12_028/h00_diffXSecTopSemiLepHadronPhaseSpacelepPt
Title=diffXSecTopSemiLepHadronPhaseSpacelepPt
## Area: 1
## Num bins: 8
## xlow   xhigh     val     err
3.0000000000e+01 3.7000000000e+01 1.4300000000e-02 4.5760000000e-04
3.7000000000e+01 4.5000000000e+01 2.2100000000e-02 6.8510000000e-04
4.5000000000e+01 5.5000000000e+01 1.8300000000e-02 4.2090000000e-04
5.5000000000e+01 6.8000000000e+01 1.3600000000e-02 2.8560000000e-04
6.8000000000e+01 8.0000000000e+01 9.4200000000e-03 2.3550000000e-04
8.0000000000e+01 1.0000000000e+02 5.8900000000e-03 1.2958000000e-04
1.0000000000e+02 1.3500000000e+02 2.5100000000e-03 1.6817000000e-04
1.3500000000e+02 2.0000000000e+02 5.7300000000e-04 5.7873000000e-05
# END HISTOGRAM

# BEGIN HISTOGRAM /REF/CMS_TOP_12_028/h01_diffXSecTopSemiLepHadronPhaseSpacelepEta
AidaPath=/REF/CMS_TOP_12_028/h01_diffXSecTopSemiLepHadronPhaseSpacelepEta
Title=diffXSecTopSemiLepHadronPhaseSpacelepEta
## Area: 1
## Num bins: 14
## xlow   xhigh     val     err
-2.1000000000e+00 -1.8000000000e+00 9.7600000000e-02 5.8560000000e-03
-1.8000000000e+00 -1.5000000000e+00 1.3700000000e-01 6.1650000000e-03
-1.5000000000e+00 -1.2000000000e+00 1.9400000000e-01 6.9840000000e-03
-1.2000000000e+00 -9.0000000000e-01 2.3900000000e-01 8.8430000000e-03
-9.0000000000e-01 -6.0000000000e-01 3.0300000000e-01 9.0900000000e-03
-6.0000000000e-01 -3.0000000000e-01 3.4100000000e-01 7.8430000000e-03
-3.0000000000e-01 0.0000000000e+00 3.6000000000e-01 8.6400000000e-03
0.0000000000e+00 3.0000000000e-01 3.3900000000e-01 9.4920000000e-03
3.0000000000e-01 6.0000000000e-01 3.3500000000e-01 1.2060000000e-02
6.0000000000e-01 9.0000000000e-01 3.0600000000e-01 1.4076000000e-02
9.0000000000e-01 1.2000000000e+00 2.2500000000e-01 7.2000000000e-03
1.2000000000e+00 1.5000000000e+00 2.0100000000e-01 6.8340000000e-03
1.5000000000e+00 1.8000000000e+00 1.3600000000e-01 5.7120000000e-03
1.8000000000e+00 2.1000000000e+00 9.3100000000e-02 6.5170000000e-03
# END HISTOGRAM

