# BEGIN HISTOGRAM /REF/CMS_TOP_12_028_Parton/h14_diffXSecTopSemiLepPartontopPt
AidaPath=/REF/CMS_TOP_12_028_Parton/h14_diffXSecTopSemiLepPartontopPt
Title=diffXSecTopSemiLepPartontopPt
## Area: 1
## Num bins: 8
## xlow   xhigh     val     err
0.0000000000e+00 6.0000000000e+01 4.1400000000e-03 1.5732000000e-04
6.0000000000e+01 1.0000000000e+02 6.6900000000e-03 1.4049000000e-04
1.0000000000e+02 1.5000000000e+02 4.9600000000e-03 1.5872000000e-04
1.5000000000e+02 2.0000000000e+02 2.6600000000e-03 9.8420000000e-05
2.0000000000e+02 2.6000000000e+02 1.0600000000e-03 3.8160000000e-05
2.6000000000e+02 3.2000000000e+02 3.9900000000e-04 2.3940000000e-05
3.2000000000e+02 4.0000000000e+02 1.3000000000e-04 1.0530000000e-05
4.0000000000e+02 5.0000000000e+02 3.7000000000e-05 4.0330000000e-06
# END HISTOGRAM

# BEGIN HISTOGRAM /REF/CMS_TOP_12_028_Parton/h15_diffXSecTopSemiLepPartontopPtTtbarSys
AidaPath=/REF/CMS_TOP_12_028_Parton/h15_diffXSecTopSemiLepPartontopPtTtbarSys
Title=diffXSecTopSemiLepPartontopPtTtbarSys
## Area: 1
## Num bins: 8
## xlow   xhigh     val     err
0.0000000000e+00 6.0000000000e+01 4.4400000000e-03 2.0868000000e-04
6.0000000000e+01 1.0000000000e+02 7.0300000000e-03 1.5466000000e-04
1.0000000000e+02 1.5000000000e+02 4.9300000000e-03 1.5776000000e-04
1.5000000000e+02 2.0000000000e+02 2.4400000000e-03 9.0280000000e-05
2.0000000000e+02 2.6000000000e+02 9.0000000000e-04 3.9600000000e-05
2.6000000000e+02 3.2000000000e+02 3.2100000000e-04 1.7334000000e-05
3.2000000000e+02 4.0000000000e+02 9.4000000000e-05 7.3320000000e-06
4.0000000000e+02 5.0000000000e+02 2.5000000000e-05 3.3500000000e-06
# END HISTOGRAM

# BEGIN HISTOGRAM /REF/CMS_TOP_12_028_Parton/h16_diffXSecTopSemiLepPartontopY
AidaPath=/REF/CMS_TOP_12_028_Parton/h16_diffXSecTopSemiLepPartontopY
Title=diffXSecTopSemiLepPartontopY
## Area: 1
## Num bins: 10
## xlow   xhigh     val     err
-2.5000000000e+00 -1.6000000000e+00 7.3600000000e-02 3.3120000000e-03
-1.6000000000e+00 -1.2000000000e+00 1.7500000000e-01 5.0750000000e-03
-1.2000000000e+00 -8.0000000000e-01 2.6100000000e-01 8.6130000000e-03
-8.0000000000e-01 -4.0000000000e-01 3.0000000000e-01 5.4000000000e-03
-4.0000000000e-01 0.0000000000e+00 3.3300000000e-01 6.3270000000e-03
0.0000000000e+00 4.0000000000e-01 3.3100000000e-01 6.6200000000e-03
4.0000000000e-01 8.0000000000e-01 3.0000000000e-01 6.6000000000e-03
8.0000000000e-01 1.2000000000e+00 2.4700000000e-01 8.1510000000e-03
